"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"243",69,"7:51","Good","Drank coffee",63,"FALSE","FALSE","FALSE","LOW",471
"244",74,"7:28","Ok","Drank coffee:Drank tea:Stressful day",61,"FALSE","TRUE","FALSE","HIGH",448
"245",66,"8:01","Ok","Drank coffee:Worked out",60,"TRUE","FALSE","FALSE","LOW",481
"246",72,"7:35","Ok","Ate late:Drank coffee:Drank tea:Stressful day",63,"FALSE","TRUE","TRUE","HIGH",455
"247",73,"7:17","Ok","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",437
"248",76,"7:29","Ok","Drank coffee:Drank tea:Worked out",59,"TRUE","FALSE","FALSE","HIGH",449
"249",78,"7:38","NA","Ate late:Drank coffee:Drank tea",58,"FALSE","FALSE","TRUE","HIGH",458
"250",75,"7:48","NA","Drank coffee:Drank tea:Worked out",59,"TRUE","FALSE","FALSE","HIGH",468
"251",77,"9:15","NA","Drank coffee:Drank tea",57,"FALSE","FALSE","FALSE","HIGH",555
"252",79,"8:50","NA","Drank coffee",58,"FALSE","FALSE","FALSE","LOW",530
"253",79,"9:57","NA","Drank coffee:Worked out",59,"TRUE","FALSE","FALSE","LOW",597
"254",85,"8:23","NA","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",503
"255",88,"8:10","NA","Drank coffee",62,"FALSE","FALSE","FALSE","LOW",490
"256",83,"7:29","NA","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",449
"257",84,"7:20","NA","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",440
"258",76,"7:15","NA","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",435
"259",88,"8:19","NA","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",499
"260",78,"7:20","NA","Drank coffee",60,"FALSE","FALSE","FALSE","LOW",440
"261",82,"7:25","NA","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",445
"262",72,"7:33","NA","Drank coffee:Worked out",64,"TRUE","FALSE","FALSE","LOW",453
"263",79,"7:26","NA","Drank coffee:Worked out",60,"TRUE","FALSE","FALSE","LOW",446
"264",74,"8:35","NA","Drank coffee:Stressful day:Worked out",64,"TRUE","TRUE","FALSE","LOW",515
